FUNCTION,AGENCY
VF 486 TRAMWAY OPERATIONS,VA 2976 Melbourne Tramway and Omnibus Company Limited ND -1916 Prime
VF 94 LIQUOR LICENSING,VA 2870 Licensing Courts ND -1917 Prime
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 538 Department of Crown Lands and Survey ND -1918 Prime
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2693 Tramway Board ND -1919 Prime
VF 101 MARINE BOARD OF VICTORIA,VA 475 Chief Secretary's Department ND -1927 Prime
VF 32 UNUSED ROADS AND WATER FRONTAGES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1928 Prime
VF 33 WIRE NETTING ADVANCES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1928 Prime
VF 387 HARBOUR MANAGEMENT - WARRNAMBOOL,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1928 Prime
VF 364 LEGAL AID,VA 2549 Supreme Court of Victoria ND -1929 Prime
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 538 Department of Crown Lands and Survey ND -1932 Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 2266 Closer Settlement Board (previously known as  Lands Purchase and Management Board 1905-1918) ND -1933 Prime
"VF 445 IMMIGRANTS, BRITISH, SETTLEMENT OF",VA 2266 Closer Settlement Board (previously known as  Lands Purchase and Management Board 1905-1918) ND -1933 Prime
VF 451 LICENSING COUNTRY COMMERCIAL PASSENGER VEHICLES,VA 722 Country Roads Board ND -1934 Prime
VF 482 TOURIST ROADS,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1936 Prime
VF 106 GOLDBUYERS' LICENCES,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1938 Prime
VF 345 WORKERS COMPENSATION ARBITRATION,VA 686 County Court ND -1938 Prime
VF 146 POWER STATION NEWPORT B,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1939 Prime"
VF 453 LUNACY ESTATES ADMINISTRATION,"VA 2624 Master in Equity, Supreme Court (also known as Master in Equity and Lunacy 1867-1923) ND -1940 Prime"
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 538 Department of Crown Lands and Survey ND -1943 Prime
VF 127 GOVERNMENT MEDICAL SERVICES,VA 475 Chief Secretary's Department ND -1944 Prime
VF 129 POISONS AND NARCOTIC SUBSTANCES,VA 475 Chief Secretary's Department ND -1944 Prime
VF 131 SCHOOL MEDICAL AND DENTAL SERVICES,VA 714 Education Department ND -1944 Prime
"VF 307 HEALTH CARE PROFESSIONALS, REGISTRATION OF",VA 475 Chief Secretary's Department ND -1944 Prime
VF 436 FIRE FIGHTING (RURAL FIRE CONTROL),VA 2791 Country Fire Brigades Board ND -1944 Prime
VF 50 STATE TRUSTEE,VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1945 Prime
VF 478 TEACHING SERVICE EMPLOYMENT REGULATION,VA 886 Public Service Board (known as Public Service Commissioner 1901-40) ND -1946 Prime
VF 67 HOSPITALS AND CHARITIES,VA 2707 Charities Board of Victoria ND -1948 Prime
VF 461 PROBATE AND ADMINISTRATION,"VA 2624 Master in Equity, Supreme Court (also known as Master in Equity and Lunacy 1867-1923) ND -1948 Prime"
VF 470 RENT CONTROL - PRESCRIBED PREMISES,VA 2983 Rent Controller ND -1948 Prime
VF 147 POWER STATION NEWPORT A,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1951 Prime"
"VF 491 TRANSPORT SERVICES, CO-ORDINATION OF",VA 2738 Transport Regulation Board ND -1951 Prime
VF 255 SHOP REGISTRATION,VA 2874 Department of Labour I ND -1954 Prime
"VF 359 TOBACCO SELLERS, LICENSING OF",VA 2874 Department of Labour I ND -1954 Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1956 Prime
VF 102 METROPOLITAN FORESHORES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1956 Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 722 Country Roads Board ND -1956 Prime
VF 184 LOCAL GOVERNMENT,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1958 Prime
VF 244 BUILDING REGULATION,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1958 Prime
VF 481 TOURIST RESORTS AND FACILITIES DEVELOPMENT,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1958 Prime
"VF 480 TOURIST BUREAUX, STATE, MANAGEMENT","VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1959 Prime"
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1960 Prime
VF 187 VALUATIONS,VA 475 Chief Secretary's Department ND -1960 Prime
VF 190 PROBATION AND PAROLE SERVICES (ADULT),"VA 1464 Penal and Gaols Branch, Chief Secretary's Department ND -1960 Prime"
VF 267 EMPLOYMENT OF CHILDREN,"VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department ND -1961 Prime"
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),"VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department ND -1961 Prime"
VF 425 CHILD MIGRANT WELFARE,"VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department ND -1961 Prime"
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF","VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department ND -1961 Prime"
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),"VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department ND -1961 Prime"
"VF 299 BOILERS, INSPECTION OF",VA 612 Mines Department (also known as Department of Mines and Mining Department) ND -1962 Prime
VF 188 WEIGHTS AND MEASURES,VA 475 Chief Secretary's Department ND -1965 Prime
"VF 352 ENGINE DRIVERS AND BOILER ATTENDANTS, CERTIFICATION OF",VA 1398 Board of Examiners for Engine Drivers ND -1967 Prime
"VF 444 HOUSING, PUBLIC (ABORIGINES)",VA 508 Housing Commission of Victoria ND -1968 Prime
VF 189 TOURISM,VA 2918 Tourist Development Authority ND -1970 Prime
VF 350 CONSUMER AFFAIRS CONSULTATION,VA 2734 Consumers Protection Council ND -1970 Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 714 Education Department ND -1971 Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 722 Country Roads Board ND -1971 Prime
VF 170 REGIONAL DEVELOPMENT,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1971 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),"VA 2784 Social Welfare Branch, Chief Secretary's Department ND -1971 Prime"
VF 252 WELFARE SERVICES,VA 475 Chief Secretary's Department ND -1971 Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 695 Department of Health I ND -1971 Prime
VF 496 WELFARE SERVICES (FAMILY),"VA 2784 Social Welfare Branch, Chief Secretary's Department ND -1971 Prime"
VF 499 WELFARE SERVICES (YOUTH),"VA 2784 Social Welfare Branch, Chief Secretary's Department ND -1971 Prime"
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 886 Public Service Board (known as Public Service Commissioner 1901-40) ND -1972 Prime
VF 193 ARTS FUNDING,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1972 Prime
VF 194 ARTS,VA 475 Chief Secretary's Department ND -1972 Prime
VF 201 RACING AND GAMING,VA 475 Chief Secretary's Department ND -1972 Prime
VF 202 SPORT AND RECREATION,VA 475 Chief Secretary's Department ND -1972 Prime
VF 203 YOUTH AFFAIRS,VA 475 Chief Secretary's Department ND -1972 Prime
"VF 61 BUILDING SOCIETIES, REGULATION OF",VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1973 Prime
"VF 174 HOUSING, PUBLIC",VA 508 Housing Commission of Victoria ND -1973 Prime
"VF 356 SCAFFOLDING INSPECTORS AND SCAFFOLDERS, CERTIFICATION OF",VA 3148 Municipal Scaffolding Inspectors Board ND -1974 Prime
VF 462 PUBLIC SERVICE PROMOTION APPEALS DETERMINATION,VA 886 Public Service Board (known as Public Service Commissioner 1901-40) ND -1975 Prime
VF 118 DAY TRAINING CENTRES,VA 695 Department of Health I ND -1976 Prime
VF 316 EDUCATION (TEACHER TRAINING PROGRAMMES) TO C.1987,"VA 3090 State College of Victoria at Bendigo (previously known as Bendigo Teachers College 1926-1931, 1945-1973) ND -1976 Prime"
VF 59 EQUAL OPPORTUNITY,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1977 Prime
VF 149 GROUNDWATER RESOURCES,VA 612 Mines Department (also known as Department of Mines and Mining Department) ND -1977 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 612 Mines Department (also known as Department of Mines and Mining Department) ND -1977 Prime
VF 152 PETROLEUM INDUSTRY,VA 612 Mines Department (also known as Department of Mines and Mining Department) ND -1977 Prime
VF 231 ETHNIC AFFAIRS,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1977 Prime
VF 343 PLANNING SCHEMES (TO 1988) GEELONG,VA 2830 Geelong Regional Planning Authority [known as Geelong Regional Authority 1975 to 1977] ND -1977 Prime
VF 205 GOVERNMENT PRINTING,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) ND -1978 Prime
VF 207 GOVERNMENT COMPUTING,VA 886 Public Service Board (known as Public Service Commissioner 1901-40) ND -1978 Prime
VF 220 ECONOMIC DEVELOPMENT,VA 552 Department of State Development (from 1972 also known as Department of State Development and Decentralisation) ND -1978 Prime
VF 459 PORT OF MELBOURNE - MANAGEMENT AND DEVELOPMENT,VA 2799 Melbourne Harbor Trust Commissioners ND -1978 Prime
"VF 500 WELFARE, MATERNAL AND CHILD",VA 695 Department of Health I ND -1978 Prime
VF 54 GOVERNMENT REPORTING SERVICE,VA 475 Chief Secretary's Department ND -1979 Prime
VF 111 ANIMAL PROTECTION,VA 475 Chief Secretary's Department ND -1979 Prime
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 475 Chief Secretary's Department ND -1979 Prime
VF 208 ELECTORAL OFFICE,VA 475 Chief Secretary's Department ND -1979 Prime
"VF 433 ELECTORAL LAWS, ADMINISTRATION OF",VA 475 Chief Secretary's Department ND -1979 Prime
VF 479 TOURISM PUBLICITY AND PROMOTION,"VA 2881 Department of State Development, Decentralisation and Tourism ND -1979 Prime"
VF 363 RENEWABLE ENERGY,VA 3118 Victorian Solar Energy Research Committee ND -1980 Prime
VF 144 INDUSTRIAL APPEALS,VA 1011 Industrial Appeals Court (also Court of Industrial Appeals 1903-1942) ND -1981 Prime
VF 186 PLANNING SCHEMES (TO 1988),VA 516 Town and Country Planning Board ND -1981 Prime
VF 209 GOVERNMENT COURIER SERVICE,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1981 Prime
VF 242 PLANNING APPEALS,VA 598 Town Planning Appeals Tribunal ND -1981 Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 600 Ministry for Planning ND -1981 Prime
VF 313 GOVERNMENT INFORMATION SERVICE,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1981 Prime
VF 329 PLANNING (TO 1988),VA 516 Town and Country Planning Board ND -1981 Prime
VF 456 OVERSEAS INVESTMENT IN VICTORIAN INDUSTRY,VA 2920 Victoria Promotion Committee ND -1981 Prime
"VF 471 RENTAL DISPUTES, INVESTIGATION OF",VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1981 Prime
VF 70 HOSPITAL SUPERANNUATION,VA 652 Health Commission of Victoria ND -1982 Prime
VF 116 STATE LABORATORIES,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1982 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1982 Prime
VF 339 WOMEN'S AFFAIRS,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1982 Prime
VF 340 STATE ARTIST,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) ND -1982 Prime
VF 492 VICTORIA'S 150TH ANNIVERSARY CELEBRATIONS,VA 2833 Victoria's 150th Anniversary Celebration Citizens' Council ND -1982 Prime
VF 56 RAFFLES AND BINGO,VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1983 Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 613 Department of Community Welfare Services ND -1983 Prime
VF 114 HEALTH SCIENCES BRANCH,VA 652 Health Commission of Victoria ND -1983 Prime
VF 115 CHIEF CHEMIST'S GROUP,VA 611 Department of Minerals and Energy ND -1983 Prime
VF 119 AGRICULTURAL EDUCATION,VA 618 Department of Agriculture ND -1983 Prime
VF 173 NATIONAL PARKS,VA 549 National Parks Service [known as National Parks Authority 1957-1971] ND -1983 Prime
VF 216 LANDATA,VA 599 Department of Planning ND -1983 Prime
VF 229 RESEARCH INSTITUTES,VA 551 Ministry for Conservation ND -1983 Prime
VF 236 COASTAL MANAGEMENT,VA 538 Department of Crown Lands and Survey ND -1983 Prime
VF 239 NATIONAL ESTATE,VA 551 Ministry for Conservation ND -1983 Prime
VF 263 MOUNT BUFFALO CHALET,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1983 Prime"
VF 284 CONSERVATION (FLORA),VA 534 Department of State Forests (Forests Commission) ND -1983 Prime
"VF 304 BUILDINGS, GOVERNMENT (PRESERVATION OF)",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1983 Prime
VF 327 HERITAGE PROTECTION,VA 599 Department of Planning ND -1983 Prime
VF 328 ENVIRONMENT PROTECTION,VA 551 Ministry for Conservation ND -1983 Prime
VF 347 ENVIRONMENT EFFECTS STATEMENTS,VA 551 Ministry for Conservation ND -1983 Prime
VF 349 CONSTRUCTION INDUSTRY LONG SERVICE LEAVE,VA 1364 Building Industry Long Service Leave Board ND -1983 Prime
"VF 422 BUS SERVICES, URBAN, CO-ORDINATION OF",VA 2738 Transport Regulation Board ND -1983 Prime
VF 430 CRIMINAL PROCEEDINGS,VA 667 Office of the Victorian Government Solicitor (previously known as the Office of the Crown Solicitor) ND -1983 Prime
"VF 463 RAIL AND ROAD SERVICES, COUNTRY","VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1983 Prime"
"VF 464 RAIL SERVICES, METROPOLITAN","VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) ND -1983 Prime"
VF 483 TOXICOLOGY BRANCH,VA 2263 Coroners Courts ND -1983 Prime
VF 487 TRAMWAYS AND BUS OPERATIONS,VA 2694 Melbourne and Metropolitan Tramways Board ND -1983 Prime
VF 488 TRANSPORT REGULATION,VA 2738 Transport Regulation Board ND -1983 Prime
VF 178 SOIL CONSERVATION,VA 1056 Soil Conservation Authority (previously known as Soil Conservation Board 1940-1947; Land Conservation Authority 1947-1950) ND -1984 Prime
VF 221 OCCUPATIONAL HEALTH SERVICES,VA 652 Health Commission of Victoria ND -1984 Prime
VF 365 TAXATION APPEALS,VA 1080 Victorian Taxation Board of Review ND -1984 Prime
"VF 417 WATER AND SEWERAGE TRUSTS, SUPERVISION OF",VA 723 State Rivers and Water Supply Commission (SRWSC) ND -1984 Prime
VF 473 RURAL WATER RESOURCES POLICY,VA 723 State Rivers and Water Supply Commission (SRWSC) ND -1984 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 641 Ministry of Water Resources and Water Supply ND -1984 Prime
VF 55 TRANSPORT ACCIDENT COMPENSATION APPEALS,VA 1069 Motor Accidents Tribunal ND -1985 Prime
VF 72 WORKERS' COMPENSATION,VA 876 Workers Compensation Board ND -1985 Prime
VF 78 PROPERTY AND ASSETS,VA 430 Department of Property and Services ND -1985 Prime
VF 169 SOLICITOR-GENERAL,VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1985 Prime
VF 185 PLANNING SCHEMES (TO 1988) MELBOURNE METROPOLITAN,VA 1007 Melbourne Water Corporation [known as Melbourne and Metropolitan Board of Works to 1992] ND -1985 Prime
VF 197 HOUSEBUILDING LIABILITY,VA 601 Local Government Department ND -1985 Prime
VF 212 REGISTRAR-GENERAL,VA 2825 Attorney-General's Department (previously known as the Law Department) ND -1985 Prime
"VF 213 BUILDINGS, GOVERNMENT (MANAGEMENT)",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1985 Prime
VF 214 GOVERNMENT EMPLOYEE HOUSING,VA 609 Ministry of Housing ND -1985 Prime
VF 215 PLACE NAMES COMMITTEE,"VA 1034 Department of Conservation, Forests and Lands ND -1985 Prime"
VF 246 FISH MARKETING,"VA 1034 Department of Conservation, Forests and Lands ND -1985 Prime"
VF 247 DOMICILIARY CARE SERVICES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) ND -1985 Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 2695 Department of Health II (commonly known as the Health Department Victoria) ND -1985 Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) ND -1985 Prime
VF 261 FUEL PRICES REGULATION,VA 1026 Ministry of Consumer Affairs ND -1985 Prime
VF 348 LAND MONITORING,VA 430 Department of Property and Services ND -1985 Prime
VF 362 EMPLOYMENT,VA 704 Ministry of Employment and Training ND -1985 Prime
"VF 457 PLUMBERS/GASFITTERS, REGISTRATION/REGULATION OF",VA 652 Health Commission of Victoria ND -1985 Prime
VF 143 TRANSPORT ACCIDENT COMPENSATION,VA 1055 Motor Accidents Board ND -1986 Prime
VF 374 CORONIAL SERVICES,VA 2263 Coroners Courts ND -1986 Prime
VF 423 CHARITY FUNDRAISING ADMINISTRATION,VA 2695 Department of Health II (commonly known as the Health Department Victoria) ND -1986 Prime
VF 458 PORT AND MARINE RELATED SERVICES,VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) ND -1986 Prime
"VF 460 PORTS, EASTERN VICTORIA, ADMINISTRATION OF",VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) ND -1986 Prime
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1987 Prime
"VF 219 SUPPLY OF FURNITURE, STORES AND EQUIPMENT",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) ND -1987 Prime
VF 277 MAJOR DEVELOPMENT PROJECTS CO-ORDINATION,VA 1358 Urban Land Corporation (formerly known as the Urban Land Authority) ND -1987 Prime
VF 438 FRIENDLY SOCIETIES REGISTRATION,VA 1022 Department of Management and Budget ND -1987 Prime
VF 198 PRICES MONITORING,"VA 2661 Department of Industry, Technology and Resources ND -1988 Prime"
VF 431 ECONOMIC DEVELOPMENT LOANS,VA 1109 Victorian Economic Development Corporation ND -1988 Prime
"VF 446 INDUSTRY, INVESTMENT IN",VA 2986 Victorian Investment Corporation ND -1989 Prime
VF 472 ROAD TRANSPORT REGULATION,VA 1036 Road Traffic Authority ND -1989 Prime
"VF 490 TRANSPORT SERVICES : PUBLIC, NON-METROPOLITAN AREA",VA 1038 State Transport Authority ND -1989 Prime
VF 325 SCHOOL BUS SERVICES,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) ND -1990 Prime
